Score,Source IP,Destination IP,Connections,Avg Bytes,Intvl Range,Size Range,Top Intvl,Top Size,Top Intvl Count,Top Size Count,Intvl Skew,Size Skew,Intvl Dispersion,Size Dispersion
0.834,167.114.125.231,192.168.23.89,40,10,10,40,1,0,10,30,0,0,0,0
0.834,89.203.192.110,192.168.23.89,302,11,74283,40,1,0,124,222,0,0,0,0
0.834,192.223.26.20,192.168.23.89,29,12,14,40,1,0,4,21,0,0,0,0
0.834,176.57.0.140,192.168.23.89,33,12,13,40,1,0,9,24,0,0,0,0
0.834,51.89.157.32,192.168.23.89,108,10,12067,40,1,0,39,81,0,0,0,0
0.834,3.80.231.136,192.168.23.89,21,80,17,14,1,87,3,11,0,0,0,0
0.834,45.156.85.32,192.168.23.89,77,10,54,40,1,0,28,57,0,0,0,0
0.834,85.190.153.16,192.168.23.89,24,10,8,40,1,0,11,18,0,0,0,0
0.834,109.71.254.106,192.168.23.89,32,10,14,40,1,0,4,24,0,0,0,0
0.834,109.71.254.101,192.168.23.89,116,10,9081,40,1,0,15,87,0,0,0,0
0.834,176.57.168.61,192.168.23.89,285,13,135,40,1,0,85,202,0,0,0,0
0.834,176.57.168.161,192.168.23.89,437,10,22735,40,1,0,100,323,0,0,0,0
0.834,212.102.33.223,192.168.23.89,77,10,470,40,1,0,25,57,0,0,0,0
0.834,218.74.122.147,192.168.23.89,81,72,286532,1,1,73,6,69,0,0,0,0
0.834,104.153.105.173,192.168.23.89,32,10,13,40,1,0,6,24,0,0,0,0
0.834,85.190.153.44,192.168.23.89,37,11,11,40,1,0,12,27,0,0,0,0
0.834,92.223.59.56,192.168.23.89,26,73,11,11,1,73,5,17,0,0,0,0
0.834,135.148.73.173,192.168.23.89,385,10,58601,40,1,0,125,286,0,0,0,0
0.834,8.20.123.15,192.168.23.89,24,21,5479,80,1,0,13,15,0,0,0,0
0.834,54.39.161.169,192.168.23.89,28,10,1098,40,1,0,12,21,0,0,0,0
0.834,95.156.193.125,192.168.23.89,32,10,13,40,1,0,9,24,0,0,0,0
0.834,123.201.166.89,192.168.23.89,307,85,13,1820,9,52,288,162,0,0,0,0
0.834,51.81.49.176,192.168.23.89,36,10,13,40,1,0,7,27,0,0,0,0
0.834,135.148.73.174,192.168.23.89,44,8,57093,40,1,0,17,35,0,0,0,0
0.834,104.18.20.200,192.168.23.89,195,12,217,40,1,0,66,141,0,0,0,0
0.834,92.61.252.150,192.168.23.89,39,75,141850,11,1,73,7,26,0,0,0,0
0.834,178.176.163.7,192.168.23.89,32,86,2,7,1,85,7,25,0,0,0,0
0.834,204.78.76.4,192.168.23.89,156,13,120,40,1,0,54,111,0,0,0,0
